,username,oneStarBadge,twoStarBadge,threeStarBadge,fourStarBadge,fiveStarBadge,basic_Certificate,intermediate_Certificate,adavanced_Certificate
64,23955A6714,0,0,0,0,2,0,0,0
65,22951A67B8,0,0,0,0,0,1,0,0
66,22951A05H1,2,0,1,0,1,0,0,0
67,22951A67B1,0,1,0,0,0,0,0,0
68,23955A0511,1,1,0,0,1,1,0,0
69,22951A05H4,0,1,1,0,1,0,0,0
70,22951A67F8,1,2,1,0,0,3,0,0
71,22951A0466,0,1,0,0,1,2,0,0
72,22951A6285,0,0,0,0,0,0,0,0
73,22951A6668,0,0,0,0,0,0,0,0
74,22951A67C4,0,0,0,0,0,0,0,0
75,22951A0482,0,1,0,0,0,0,0,0
76,22951A0574,0,0,0,0,0,0,0,0
77,22951A05D1,0,1,0,0,1,0,0,0
78,22951A6234,0,0,0,0,0,0,0,0
79,22951A05G4,0,0,0,0,0,0,0,0
80,22951A6245,1,0,0,0,0,0,0,0
81,22951A6213,1,1,0,0,0,1,0,0
82,22951A6719,2,0,0,0,1,3,0,0
83,22951A0533,0,0,0,0,0,0,0,0
84,22951A67G2,0,0,0,0,1,1,0,0
85,22951A0465,0,0,0,0,1,1,1,0
86,22951A04L1,0,0,1,2,0,2,0,0
87,22951A04A9,0,1,0,0,0,0,0,0
88,22951A6219,0,0,0,0,0,0,0,0
89,22951A33A4,1,0,1,0,0,3,0,0
90,22951A62A0,0,0,0,1,0,0,0,0
91,22951A62C0,0,0,1,0,1,0,0,0
92,22951A04B8,0,0,0,0,0,0,0,0
93,22951A6792,0,0,0,0,0,0,0,0
94,22951A6788,0,0,0,0,0,0,0,0
95,22951A05G8,0,0,0,0,1,3,0,0
96,22951A1206,0,0,1,1,0,0,0,0
97,22951A62C1,0,0,1,1,0,0,0,0
98,22951A05E3,1,0,0,0,1,2,0,0
99,23955A6715,0,0,0,0,2,0,1,1
100,22951A12A3,0,0,0,0,0,0,0,0
101,22951A1289,1,0,0,0,0,1,0,0
102,22951A0433,0,0,0,0,0,0,0,0
103,22951A04J1,0,0,0,0,0,0,0,0
104,22951A0418,2,0,0,0,1,2,0,0
105,22951A0464,0,0,0,0,0,0,0,0
106,22951A0432,0,0,0,0,1,2,0,0
107,22951A6777,0,2,0,0,1,1,0,0
108,22951A05J5,0,0,0,0,0,0,0,0
109,22951A05G1,0,0,2,2,0,1,0,0
110,22951A05F4,2,1,0,0,1,1,0,0
111,22951A05D5,0,0,0,0,0,0,0,0
112,23955A3301,0,0,2,1,0,0,0,0
113,22951A04J2,0,0,0,0,0,0,0,0
114,22951A1230,0,1,0,0,0,0,0,0
115,22951A67B2,0,0,0,0,0,0,0,0
116,22951A0416,0,0,0,0,0,0,0,0
117,22951A05F3,0,0,1,0,1,4,1,0
118,22951A05F9,0,0,1,0,0,0,0,0
119,22951A05B5,0,0,1,1,1,1,0,0
120,22951A6677,0,0,1,0,1,1,0,1
121,22951A66C2,0,0,2,1,0,1,0,0
122,22951A04D6,0,0,0,0,0,0,0,0
123,22951A6762,0,0,1,0,0,1,0,0
124,22951A66G1,0,0,0,0,0,0,0,0
125,22951A6776,0,0,0,0,0,0,0,0
126,22951A6713,0,2,0,1,0,3,0,0
127,22951A05J8,0,1,2,0,1,1,0,0
128,22951A6756,0,1,0,0,1,1,0,0
129,22951A3367,1,0,0,1,2,5,0,0
130,23955A6720,0,0,0,0,0,0,0,0
131,22951A62A2,0,0,0,0,0,0,0,0
132,22951A3390,0,1,2,0,1,3,0,0
133,22951A6619,0,0,0,0,0,0,0,0
134,ADMIN00000,0,0,0,0,0,0,0,0
135,22951A05R6,2,1,0,2,1,3,1,0
136,22951A0507,0,0,0,0,0,0,0,0
137,22951A3322,2,0,0,1,0,0,0,0
138,22951A66D7,0,1,2,0,0,3,0,0
139,22951A05B6,0,0,0,0,0,0,0,0
140,23955A0514,0,1,0,1,1,2,0,0
141,23955A6208,1,0,1,2,0,1,0,0
142,22951A04E1,0,0,0,0,0,0,0,0
143,22951A04G0,0,0,0,1,0,0,0,0
144,22951A1276,1,0,0,1,0,1,0,0
145,22951A66D1,0,1,2,0,0,4,1,0
146,23955A0524,2,0,1,0,1,1,0,0
147,23955A6610,0,0,0,0,1,0,0,0
148,22951A62A4,2,0,1,0,1,0,0,0
149,22951A0406,0,0,1,0,0,1,0,0
150,23955A0516,0,0,0,0,0,0,0,0
151,22951A33C7,0,1,0,0,1,3,0,0
152,22951A0413,0,0,1,0,1,1,0,0
153,22951A6291,1,1,0,0,1,1,0,0
154,22951A0561,0,0,0,0,0,0,0,0
155,22951A67H7,0,0,1,1,0,0,0,0
156,22951A0549,2,0,0,0,1,0,0,0
157,23955A0515,0,0,0,3,0,1,0,0
158,22951A0468,0,1,0,0,1,1,0,0
159,22951A0583,1,1,1,0,1,1,0,0
160,23955A0215,0,0,0,0,1,0,0,0
161,22951A0405,0,0,0,0,0,0,0,0
162,22951A0461,1,0,0,0,1,0,0,0
163,22951A67D0,0,0,0,1,1,1,0,0
164,22951A6736,1,0,0,0,2,0,0,0
165,23955A0505,0,0,0,0,0,0,0,0
166,22951A04F1,0,0,0,0,2,2,0,0
167,22951A6656,2,0,0,0,2,0,0,0
168,22951A05B3,0,0,0,0,0,0,0,0
169,22951A6625,1,0,2,1,0,0,0,0
170,22951A04K1,0,0,0,0,1,1,0,0
